@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
56,'2016/11/25 15:19:45:302',1,83.090912,0.088451,0.086877,0.074278,0.063517,0.060367,0.027297,0.023622,0.036483,0.294922,0.955566,0.083984,0,0,0,0,0,?,?,?,?
57,'2016/11/25 15:19:45:336',1,83,0.090814,0.086089,0.073753,0.060105,0.052756,0.028084,0.023622,0.034908,0.293945,0.942383,0.088867,0,0,0,0,0,?,?,?,?
58,'2016/11/25 15:19:45:368',1,83,0.088976,0.086614,0.075591,0.061417,0.054593,0.027559,0.024147,0.033858,0.291504,0.95752,0.087402,0,0,0,0,0,?,?,?,?
59,'2016/11/25 15:19:45:402',1,83,0.090814,0.084252,0.083465,0.06273,0.058005,0.028084,0.022835,0.033858,0.290527,0.943848,0.088379,0,0,0,0,0,?,?,?,?
60,'2016/11/25 15:19:45:435',1,83,0.093438,0.083465,0.092126,0.066929,0.05958,0.029921,0.025984,0.032283,0.296387,0.95166,0.081055,0,0,0,0,0,?,?,?,?
61,'2016/11/25 15:19:45:468',1,83,0.092913,0.081627,0.100262,0.069029,0.061942,0.030446,0.026772,0.031759,0.29541,0.943848,0.084473,0,0,0,0,0,?,?,?,?
62,'2016/11/25 15:19:45:503',1,83,0.092388,0.092388,0.106824,0.072703,0.064304,0.030446,0.026247,0.032546,0.289063,0.945313,0.090332,0,0,0,0,0,?,?,?,?
63,'2016/11/25 15:19:45:535',1,83,0.093438,0.096588,0.108136,0.071391,0.066929,0.030446,0.027297,0.034383,0.290527,0.953125,0.086426,0,0,0,0,0,?,?,?,?
64,'2016/11/25 15:19:45:568',1,83,0.090551,0.102887,0.109974,0.071916,0.067979,0.030184,0.027559,0.035171,0.299316,0.939941,0.086426,0,0,0,0,0,?,?,?,?
65,'2016/11/25 15:19:45:602',1,83,0.090551,0.104199,0.108924,0.069816,0.068504,0.028871,0.028871,0.035171,0.291992,0.943848,0.087402,0,0,0,0,0,?,?,?,?
66,'2016/11/25 15:19:45:635',1,83,0.086614,0.108136,0.110499,0.068241,0.068241,0.029134,0.029921,0.034121,0.288574,0.947754,0.084473,0,0,0,0,0,?,?,?,?
67,'2016/11/25 15:19:45:668',1,83,0.086877,0.110236,0.112336,0.069029,0.069291,0.025197,0.026772,0.033333,0.296387,0.945801,0.081543,0,0,0,0,0,?,?,?,?
68,'2016/11/25 15:19:45:702',1,83,0.090289,0.111549,0.111286,0.071129,0.069029,0.027297,0.030446,0.033596,0.294434,0.949219,0.092285,0,0,0,0,0,?,?,?,?
69,'2016/11/25 15:19:45:735',1,83,0.095013,0.110761,0.118373,0.068241,0.069816,0.027559,0.031759,0.034646,0.291504,0.953125,0.089355,0,0,0,0,0,?,?,?,?
